local,dia_semana,hora_dia,eventos_proximos,historico_ocorrencias_7d,iluminacao_ativa_pct,iluminacao_fonte,densidade_pessoas,acao_preventiva_necessaria
Praça Largo De Monte Verde,3,23,1,10,22.0,sintetica,27,1
Praça Da Rua Cordislândia,2,7,0,3,96.0,sintetica,12,0
Praça Selecao 70,0,5,0,12,32.0,sintetica,10,0
Praça Augusto Rodrigues,4,21,0,13,37.0,sintetica,72,0
Praça Da Rua Rosa M. De Melo,0,1,1,0,56.0,sintetica,16,0
Praça Joca Leal,4,18,0,12,62.0,sintetica,83,0
Largo Da Encruzilhada,1,19,0,12,53.0,sintetica,53,0
Praça Queira Deus,0,19,0,1,74.0,sintetica,17,0
Praça Governador Paulo Guerra,1,23,0,10,71.0,sintetica,41,0
Travessa Tiradentes,0,13,0,14,55.0,sintetica,32,1
Parque Do Forte Do Arraial Novo Do Bom Jesus,2,0,0,13,73.0,sintetica,26,0
Praça Do Caxanga,3,9,0,0,78.0,sintetica,23,0
Praça Arari Ferreira Fonseca,5,15,0,12,71.0,sintetica,26,0
Praça Rio Branco,5,3,1,4,38.0,sintetica,34,0
Praça Da Av. Do Forte,5,10,0,6,31.0,sintetica,30,0
Praça Domingos Giovanetti,1,15,0,2,30.0,sintetica,15,1
Praça Palminha / Próximo Ao Núcleo Policial / Padaria Flor Do Ibura,6,19,0,13,67.0,sintetica,99,0
Av Manoel Gonsalves Da Luz,4,0,0,7,98.0,sintetica,58,1
Praça Zeppelin,5,15,0,13,35.0,sintetica,29,0
Praça Ponte D`Uchoa,2,18,1,14,90.0,sintetica,35,1
Praça Deputado Fabio Correa,5,20,1,4,66.0,sintetica,76,0
Praça Todos Os Santos,0,21,0,4,86.0,sintetica,17,0
Praça Movicar,1,8,0,12,50.0,sintetica,54,0
Praça Mercado Municipal Da Ur-5,6,8,0,4,95.0,sintetica,57,0
Praça Josen Demery Carneiro,0,8,0,7,27.0,sintetica,53,0
Praça Alto Da Serrinha,6,16,0,1,80.0,sintetica,38,0
Praça Beira Rio,0,11,0,1,63.0,sintetica,26,0
Praça Pedro Brandão,0,12,1,14,69.0,sintetica,27,1
Praça Agamenon Magalhães,3,7,0,13,54.0,sintetica,49,0
Praça Da Juventude,3,15,0,11,95.0,sintetica,27,0
Praça Da Mentira,4,17,1,7,80.0,sintetica,20,0
Peixinhos,1,0,0,8,74.0,sintetica,54,0
Praça Santa Lucia,2,0,0,10,85.0,sintetica,21,0
Praça Barão Da Soledade,2,11,0,11,33.0,sintetica,24,0
Praça Francisco Apolônio Jorge Sales,2,5,0,9,23.0,sintetica,35,0
Praça Filonila Ferreira,0,8,1,9,36.0,sintetica,12,1
Praça Desenhista Eulino Santos,3,22,1,1,88.0,sintetica,12,0
Praça Da Restauração,1,4,1,3,43.0,sintetica,47,0
Praça Todos Os Santos,0,15,1,7,68.0,sintetica,44,0
Praça Do Pirulito,6,17,0,1,74.0,sintetica,18,0
Praça Da Mauricéia,3,16,1,3,90.0,sintetica,52,0
Praça Da Paz,3,17,1,9,42.0,sintetica,49,1
Rua Maria Adelaide Castelo Branco,5,0,0,12,31.0,sintetica,13,0
Praça Da Criança Alexandra Vilma Dias,5,18,0,12,30.0,sintetica,91,1
Praça Largo Dona Regina,1,21,0,0,94.0,sintetica,24,0
Praça Cais Edgar Amorim,6,7,0,1,48.0,sintetica,38,0
Praça Da Rua Riacho Doce,1,2,0,6,81.0,sintetica,14,0
Aritana,1,4,1,0,72.0,sintetica,48,0
Praça Arari Ferreira Fonseca,0,22,1,11,67.0,sintetica,49,1
Praça Professor Jeronimo Gueiros,4,7,0,0,85.0,sintetica,16,0
Praça A.B.C (Abc),1,18,0,1,67.0,sintetica,17,0
Praça Largo Dona Regina,5,17,1,3,78.0,sintetica,41,0
Praça São Benedito Pereira Dos Santos,4,17,0,6,90.0,sintetica,45,0
Praça Do Caiara,0,20,0,3,76.0,sintetica,42,0
Praça Franco Gomes Coutinho,4,0,0,4,95.0,sintetica,46,0
Praça Mercado Municipal Da Ur-5,2,14,1,3,22.0,sintetica,41,0
Praça Da Biblia,6,17,1,3,51.0,sintetica,52,0
Parque Sítio Da Trindade/Arraial V. Do Bom Jesus,4,6,0,8,27.0,sintetica,45,0
Praça Cosme Viana,1,15,0,14,49.0,sintetica,43,0
Praça Aleixo De Oliveira,0,15,1,5,34.0,sintetica,58,0
Praça Vila 27 De Abril,6,14,0,11,93.0,sintetica,34,0
Praça Cais Edgar Amorim,1,5,0,2,74.0,sintetica,53,0
Praça Da Restauração,6,8,0,5,57.0,sintetica,41,0
Praça Maria Da Conceição,5,6,0,12,34.0,sintetica,11,0
Praça Da Convenção,2,13,0,6,49.0,sintetica,18,0
Praça Raul Soares,5,10,0,6,65.0,sintetica,47,1
Área Central Da Avenida José Américo De Almeida,1,20,1,7,83.0,sintetica,38,0
Praça Encanta Moça/Posto Policial,1,15,0,12,45.0,sintetica,47,0
Praça Da Cavalaria,1,5,1,3,97.0,sintetica,27,0
Trevo Da Ur2,3,21,1,0,86.0,sintetica,31,0
Praça Do Pirulito,2,15,0,5,55.0,sintetica,44,0
Praça Cívica,6,19,0,7,97.0,sintetica,84,0
General Carlos Pinto,1,15,0,4,50.0,sintetica,16,0
Prc Senhor Bartolomeu,1,11,0,12,97.0,sintetica,22,0
Praça Rodrigo Cebola,6,16,0,2,59.0,sintetica,51,0
Praca Do Monteiro,5,4,0,3,93.0,sintetica,45,0
Praça Da Restauração,5,12,0,7,92.0,sintetica,25,0
Praça Professor Paulo Silveira Do Nascimento,1,7,0,5,65.0,sintetica,50,0
Praça Da Igreja Nossa Senhora De Fatima,0,23,1,12,61.0,sintetica,30,1
Praça Compositor Antônio Maria,3,4,0,14,37.0,sintetica,37,0
Praça Luiz Albacora,5,11,0,12,55.0,sintetica,19,0
Arlindo Gouveia,0,8,0,4,95.0,sintetica,28,0
Praça Machado De Assis,3,2,1,12,69.0,sintetica,26,1
Praça Onze De Junho,1,2,0,8,80.0,sintetica,10,0
Praça Do Caxanga,2,0,0,9,59.0,sintetica,22,0
José Carlos Ferreira,4,21,0,2,22.0,sintetica,62,0
Praça Do Entrocamento,4,17,0,6,26.0,sintetica,56,0
Praça Da Igreja Nossa Senhora De Fatima,1,23,1,8,50.0,sintetica,51,0
Praça Da Avenida Engenheiro Abdias De Carvalho,5,11,0,10,84.0,sintetica,29,0
Parque Jonathan Marques Da Cunha,0,8,0,12,83.0,sintetica,50,0
Praça Agamenon Magalhães,2,8,0,10,96.0,sintetica,49,0
Praça Dom Vital,6,17,1,11,22.0,sintetica,15,1
Praça Clotilde Machado,3,17,0,3,54.0,sintetica,32,0
Praça Chão De Estrelas,1,6,1,9,34.0,sintetica,51,1
Parque Da Tamarineira,2,3,0,9,40.0,sintetica,33,0
Praça João Miguel De Souza Junior,2,12,0,2,81.0,sintetica,58,0
Praça Farias Neves,5,16,0,0,47.0,sintetica,14,0
Praca General Carlos Pinto,3,23,0,8,23.0,sintetica,41,0
Praça Castro Alves,2,1,0,12,32.0,sintetica,55,0
Praça Clotilde Machado,5,13,1,0,98.0,sintetica,26,0
Praça Largo De Monte Verde,0,2,0,1,70.0,sintetica,20,0
Praça Clotilde Machado,5,4,1,8,67.0,sintetica,36,0
Praça Selecao 70,0,13,0,4,58.0,sintetica,13,0
Praça Nossa Senhora De Fátima,0,2,0,3,86.0,sintetica,32,0
Praça Da Igreja Nossa Senhora De Fatima,6,22,1,8,77.0,sintetica,86,0
Praça Compositor Antônio Maria,6,6,0,8,21.0,sintetica,58,0
Praça Vila Do Moinho Recife,2,17,0,1,44.0,sintetica,43,0
Praça João Stanislau,5,12,1,2,30.0,sintetica,30,1
Praça Palminha / Próximo Ao Núcleo Policial / Padaria Flor Do Ibura,6,22,0,11,20.0,sintetica,98,1
Espaço Colaborativo,0,21,0,2,67.0,sintetica,10,0
Praça Joaquim Nabuco,6,9,1,4,67.0,sintetica,41,0
Praça Dr Lula Cabral De Melo,3,12,0,12,29.0,sintetica,37,0
Praça Isabel Cabral,2,15,1,2,49.0,sintetica,27,0
Praça Campo De Pelada Carlos Rios,5,8,0,9,54.0,sintetica,16,0
Praça Industrial Miguel Santos,5,1,0,5,38.0,sintetica,47,0
Praça Virgilio De Oliveira,4,22,0,1,72.0,sintetica,73,0
Campo Do 15,5,4,0,5,53.0,sintetica,23,0
Praça Olavo Bilac,2,21,0,5,51.0,sintetica,39,0
Praça Do El Salvador,3,16,1,1,95.0,sintetica,53,0
Praça Othon Bezerra De Melo,5,22,0,5,25.0,sintetica,94,1
Praça Do Heróis Da Restauração,4,21,0,5,32.0,sintetica,80,1
Praça Da Paz,2,3,0,5,94.0,sintetica,53,0
Praça Jardim Uchôa,0,16,0,11,83.0,sintetica,50,0
Pracinha Da Estação Do Barro,1,8,0,12,26.0,sintetica,18,0
Praça Odília Freire Dos Santos,1,19,0,13,64.0,sintetica,40,0
Tertuliano Feitosa,0,1,0,4,64.0,sintetica,11,0
Praça Dona Elizabeth,6,23,0,6,84.0,sintetica,72,0
Praça Vila Do Moinho Recife,5,17,0,12,38.0,sintetica,14,0
Praça Adulccio Júnior,1,20,0,14,66.0,sintetica,35,0
Praça Othon Bezerra De Melo,6,21,0,11,65.0,sintetica,98,1
Praça Fernando Galvão,1,10,0,4,48.0,sintetica,21,0
Praça Mercia De Albuquerque,0,12,0,10,80.0,sintetica,23,0
Praça Alberico Glasner Da Rocha,5,7,1,0,84.0,sintetica,22,0
Praça Da Avenida Da Recuperação,5,0,1,11,42.0,sintetica,44,1
Praça Domingos Giovanetti,6,16,0,8,70.0,sintetica,56,0
Praca Do Monteiro,0,11,0,2,82.0,sintetica,24,0
Praça Da Vtiória,6,3,1,1,41.0,sintetica,44,1
Praça Memorial Arco Verde,5,20,0,9,90.0,sintetica,75,0
Praça Jenner De Souza,5,12,0,5,52.0,sintetica,24,0
Praça Da República,2,8,0,7,63.0,sintetica,17,0
Praça Do Heróis Da Restauração,6,6,0,1,26.0,sintetica,32,0
Praça Adulccio Júnior,2,22,0,3,21.0,sintetica,22,0
Praça Selecao 70,0,23,0,1,36.0,sintetica,32,0
Praça Angélica,3,4,0,11,84.0,sintetica,40,0
Praça Josenildo Paes Barreto,1,4,0,11,77.0,sintetica,39,0
Praça Da Rua João Rique. Iputinga Recife,2,16,1,8,49.0,sintetica,51,0
Pracinha De Boa Viagem,1,8,0,9,45.0,sintetica,11,0
Praça Encanta Moça/Posto Policial,4,5,0,12,54.0,sintetica,20,0
Praça Circular Do Alto Jordão,0,18,0,14,82.0,sintetica,34,0
Praça Dom Vital,3,15,0,1,94.0,sintetica,38,0
Praça Da Rua Riacho Doce,4,20,0,9,90.0,sintetica,77,0
Praça Padre Romano Zuferey,4,1,0,1,47.0,sintetica,28,0
Praça Sebastião Pontes,5,9,0,13,44.0,sintetica,18,0
Praça Sabere,4,15,0,12,80.0,sintetica,50,0
Praça São Braz,0,4,0,4,50.0,sintetica,47,1
Praça Lins Do Rego/Dos Brotos,2,14,0,11,73.0,sintetica,38,0
Praça Da Rua Do Campo,0,12,0,4,86.0,sintetica,19,0
Praça Luiz De Lacerda,2,12,0,11,70.0,sintetica,31,0
Praça Da Rua Caxangá Agape,4,12,0,6,77.0,sintetica,33,0
Mariazinha,4,14,0,0,53.0,sintetica,17,0
Praça Josenildo Paes Barreto,3,13,0,11,78.0,sintetica,56,0
Praça Maurício De Nassau E Duarte Coelho,2,7,0,1,40.0,sintetica,15,0
Praça Da Rua Clotilde De Machado I E Ii,4,10,0,10,75.0,sintetica,16,0
Praça Farias Neves,5,17,0,10,56.0,sintetica,29,0
Praca Do Monteiro,1,23,1,5,83.0,sintetica,26,0
Praça Da Rua Riacho Doce,3,3,1,1,38.0,sintetica,45,0
Praça Lagoa Do Araça,0,9,0,3,97.0,sintetica,17,1
Praça Domingos Giovanetti,3,0,0,9,93.0,sintetica,22,0
Praça Professor Abdgar Soriano,1,4,0,5,72.0,sintetica,33,1
Praça Do Tourão,2,12,0,12,90.0,sintetica,55,0
Praça São Benedito Pereira Dos Santos,0,0,0,11,82.0,sintetica,59,1
Praça Professor Ageu Magalhães,0,22,0,6,81.0,sintetica,40,0
Praça Jacarezinho,2,7,0,9,91.0,sintetica,32,0
Praça Santa Lucia,6,2,0,4,96.0,sintetica,26,0
Praça Da Mauricéia,6,2,0,7,38.0,sintetica,59,0
Praça Infantil John F. Kennedy,3,6,0,5,94.0,sintetica,55,0
Praça Virgilio De Oliveira,4,3,0,4,21.0,sintetica,33,0
Rua Maria Adelaide Castelo Branco,6,2,0,3,25.0,sintetica,52,0
Praça Santos Dumont,3,14,0,5,48.0,sintetica,19,0
Praça Antônio Luiz,6,7,0,5,60.0,sintetica,40,0
Praça Brasilit,1,2,0,5,70.0,sintetica,54,0
"Praça. Ur 04 Ibura  , Junto Da Capela Nossa Senhora Aparecida Ur 4 Terminal",5,6,0,0,24.0,sintetica,29,0
Praça Do S,4,17,0,5,60.0,sintetica,25,0
Praca Arlindo Araujo Filho,3,10,0,0,81.0,sintetica,23,0
Praça Frei Cassimiro,5,10,0,4,49.0,sintetica,12,0
Praça Das Flores,5,16,0,6,81.0,sintetica,39,1
Arlindo Gouveia,6,5,0,0,46.0,sintetica,27,0
Academia Da Cidade,2,7,0,12,69.0,sintetica,15,1
Praça Clube Sargento Wolf,1,0,1,0,71.0,sintetica,29,0
Praça Professor Ageu Magalhães,1,9,0,12,68.0,sintetica,44,0
José Mora De Silveira,1,18,0,12,81.0,sintetica,28,0
Praça Vinte De Julho,4,2,0,14,79.0,sintetica,35,0
Praça Da Rua João Rique. Iputinga Recife,0,3,1,5,99.0,sintetica,44,0
Praça Sementes Do Amanhã,4,10,0,14,73.0,sintetica,21,0
Aritana,3,14,0,6,24.0,sintetica,17,0
Praça Da Rua Abc,5,0,0,5,28.0,sintetica,46,0
Praça José Maria Do Nascimento Paraíba/Lixão,5,8,1,4,53.0,sintetica,58,0
Praça Do Vasco Da Gama,0,10,0,5,55.0,sintetica,19,0
Praça Monteiro Lobato,3,18,0,12,39.0,sintetica,30,0
Praça Da Travessa José Leite,0,12,0,13,82.0,sintetica,58,0
Praça Nossa Senhora De Fátima,5,15,0,2,86.0,sintetica,50,0
Vila.Das Lavadeiras,6,3,1,8,49.0,sintetica,54,0
Praça Joca Leal,4,0,0,14,88.0,sintetica,51,0
Praça Da Lagoa Encantada,1,19,0,4,89.0,sintetica,38,1
Praça Nova Bettis,5,12,1,1,22.0,sintetica,40,0
Praça Do Cajueiro,2,0,1,13,68.0,sintetica,49,1
Praça Da Rua Riacho Doce,1,4,0,13,61.0,sintetica,16,0
Pracinha De Boa Viagem,5,4,0,11,43.0,sintetica,43,0
Praça Olavo Bilac,4,13,1,9,63.0,sintetica,43,1
Praça Dona Elizabeth,0,22,0,9,20.0,sintetica,39,0
Praça Chão De Estrelas,6,13,1,6,73.0,sintetica,13,0
Praça Da Esperança,6,7,1,2,71.0,sintetica,50,0
Praça Astério Rufino Alves,1,3,0,0,55.0,sintetica,39,0
Praça Da Rua Riacho Doce,4,6,1,2,98.0,sintetica,34,0
Praça Da Rua Itacambira,6,19,0,8,57.0,sintetica,96,1
Praça Do Largo Da Ponte Do Motocolombo,6,18,0,4,63.0,sintetica,74,0
Praça Da Rua Joaquim De Brito,3,14,0,6,66.0,sintetica,52,0
Praça Do Tourão,2,21,1,2,48.0,sintetica,40,0
Praça Ascenço Ferreira,1,3,0,3,70.0,sintetica,48,0
Praça Do Entroncamento,0,18,0,0,60.0,sintetica,37,0
Praça Das Criancas,6,8,1,2,83.0,sintetica,34,0
Vila Boas Travassos,3,20,0,6,67.0,sintetica,28,0
Praça Do Entroncamento,4,12,0,3,96.0,sintetica,13,0
Praça Via Mangue,6,13,1,14,41.0,sintetica,43,1
Praça José Cicílio,2,22,0,1,36.0,sintetica,41,0
Praça Desenhista Eulino Santos,0,13,1,13,24.0,sintetica,34,1
Praca General Carlos Pinto,4,21,1,4,80.0,sintetica,61,0
Mariazinha,4,9,0,14,25.0,sintetica,37,0
Praça Do Caiara,1,15,0,4,72.0,sintetica,27,0
Praça Do Quinze,6,4,0,14,36.0,sintetica,16,0
Praça São Pedro,1,22,0,1,78.0,sintetica,20,0
Praça  João Maurício Campos,0,5,0,14,58.0,sintetica,51,0
Praça Joca Leal,6,1,0,14,73.0,sintetica,20,0
Praça Prof João Borba Maranhão,5,12,0,10,67.0,sintetica,18,0
Praça Poço Da Panela,6,12,0,5,56.0,sintetica,44,0
Área Central Da Avenida José Américo De Almeida,5,18,0,9,67.0,sintetica,65,0
Prc Senhor Bartolomeu,4,17,0,3,87.0,sintetica,32,0
Praça Raul Soares,1,18,0,13,97.0,sintetica,42,0
Praça Da Ur5 Ibura,2,0,0,0,96.0,sintetica,10,0
Praça Dos Pneus,6,7,0,2,46.0,sintetica,29,0
Praça Do Vasco Da Gama,2,21,0,13,46.0,sintetica,14,0
Vila Do Moinho,6,15,0,8,91.0,sintetica,38,0
Praça Do Lixo Ao Luxo,4,1,1,9,82.0,sintetica,35,1
Praça Sena Vila Cardeal E Silva - Areias,1,7,0,6,71.0,sintetica,47,0
Praça Ayrton Senna,0,5,0,12,66.0,sintetica,12,0
Praça Santa Eufrásia,0,15,0,5,40.0,sintetica,30,0
Praça João Felipe Santiago,0,22,0,13,76.0,sintetica,22,0
Praça Professor Paulo Silveira Do Nascimento,6,10,0,0,94.0,sintetica,40,0
Thomaz Lobo,6,16,0,8,61.0,sintetica,26,0
Praça Do Terminal,2,22,0,12,67.0,sintetica,44,0
Praça Parque Amorim,1,18,0,8,46.0,sintetica,32,0
Praça Henrique Café,6,10,1,0,91.0,sintetica,12,0
Praça Do Cacique - Invadida Por Moradores E Comerciantes Da Área,1,7,0,13,52.0,sintetica,54,0
Praça Lins Do Rego/Dos Brotos,2,21,0,12,95.0,sintetica,11,0
Praça Doutor Jose De Melo,6,3,1,12,54.0,sintetica,12,1
Praça Dom Diogo Camarao,0,10,0,14,35.0,sintetica,29,0
Praça Palminha / Próximo Ao Núcleo Policial / Padaria Flor Do Ibura,0,7,0,5,55.0,sintetica,57,0
Praça Professor Jeronimo Gueiros,4,8,0,6,85.0,sintetica,53,0
Praça Da Rua Elza Leal Wanderley,5,1,0,1,95.0,sintetica,18,0
Praça Do Jardim São Paulo,3,15,0,9,75.0,sintetica,57,0
Praça Professor Coelho De Almeida,5,5,0,7,36.0,sintetica,13,0
Praça Faca Cega,6,20,0,7,39.0,sintetica,66,0
Praça Dr Adolfo Cirne,1,20,0,5,27.0,sintetica,59,0
Praça Batista Da Silva,6,18,0,8,37.0,sintetica,62,0
Praça Da Rua Rosa M. De Melo,1,7,0,2,37.0,sintetica,48,0
Praça Da Rua Do Campo,1,13,0,1,37.0,sintetica,21,0
Praça Da Rua José Fernandes Portugal,5,23,0,1,21.0,sintetica,87,1
Praça Adulccio Júnior,3,15,0,5,95.0,sintetica,49,0
Praça Silva Jardim,4,11,0,6,91.0,sintetica,33,0
Jardim América,5,4,0,5,70.0,sintetica,18,0
Praça Cafesopolis,3,23,0,10,29.0,sintetica,55,0
Praça Do Caiara,0,23,0,2,94.0,sintetica,29,0
Praça Da Rua José Fernandes Portugal,0,18,0,4,33.0,sintetica,14,0
Praça Rádio Capibaribe,1,17,0,7,45.0,sintetica,29,0
Praça Aleixo De Oliveira,2,8,0,5,66.0,sintetica,30,0
Praça La Coruna,6,1,0,1,49.0,sintetica,11,1
Praça Do Trabalho,6,19,0,14,75.0,sintetica,99,0
Praça Noel Rodrigues,1,11,0,6,61.0,sintetica,51,0
Praça Do Internacional,2,1,0,7,23.0,sintetica,33,0
Praça João Vinte E Três,3,9,0,3,30.0,sintetica,18,0
Eudoro Correia,0,0,1,11,43.0,sintetica,48,1
Praça Joaquim Nabuco,6,3,0,0,86.0,sintetica,39,0
Praça Da Comunidade,5,11,0,1,56.0,sintetica,27,0
Praça Alfredo Pinto,2,8,1,3,21.0,sintetica,53,0
Praça Neta Araujo,3,3,0,6,31.0,sintetica,52,0
Trevo Da Ur2,0,8,0,1,40.0,sintetica,19,0
Arnaldo Assunção,5,5,0,5,88.0,sintetica,54,0
Praça Nossa Senhora De Fátima,2,0,0,1,90.0,sintetica,50,0
15 De Setembro,1,9,0,11,83.0,sintetica,57,0
Praça Faca Cega,1,13,0,6,87.0,sintetica,30,0
Praça Das 3 Igrejas,1,21,0,1,62.0,sintetica,31,0
Praça Da Rua João Rique. Iputinga Recife,6,17,0,2,73.0,sintetica,26,0
Praça Maria Madalena Bispo,3,5,0,8,81.0,sintetica,14,0
Praça A.B.C (Abc),1,17,0,12,92.0,sintetica,15,0
Praça Silva Jardim,6,19,1,14,31.0,sintetica,69,1
José Vilela,4,15,0,3,20.0,sintetica,52,0
Praça Márcio Alves,6,14,1,13,91.0,sintetica,11,0
Praça Da Avenida Da Recuperação,0,15,0,4,52.0,sintetica,16,0
Praça Francisco Apolônio Jorge Sales,6,7,0,8,83.0,sintetica,55,0
Praça Josenildo Paes Barreto,3,12,0,6,87.0,sintetica,13,1
Parque Exposição Do Cordeiro,5,22,0,7,33.0,sintetica,84,1
Praça Da Igreja,6,10,1,14,33.0,sintetica,28,1
Praça Tobias Vitorino Da Silva,1,6,1,10,28.0,sintetica,37,1
Praça Raizes,0,16,0,2,92.0,sintetica,29,0
Praça Adalberto Aguiar,2,17,0,10,45.0,sintetica,39,0
Praça Irmã Douraci,1,21,0,10,68.0,sintetica,51,0
Parque Da Tamarineira,0,22,1,3,36.0,sintetica,47,0
Praça Paulo Freire,4,18,0,6,87.0,sintetica,74,0
Praça Sementes Do Amanhã,2,12,0,3,79.0,sintetica,12,0
Praça Da  Boa Viagem,4,14,0,1,22.0,sintetica,56,0
Praça São José Dos Manguinhos,5,22,0,13,44.0,sintetica,72,0
Praça Chico Science,0,21,1,9,40.0,sintetica,58,1
Praça Chão De Estrelas,4,21,0,5,31.0,sintetica,81,1
Praça Encanta Moça/Posto Policial,5,0,0,8,73.0,sintetica,34,0
Praça Da Ong Do Rio - Nova Morada,0,15,0,1,20.0,sintetica,11,0
Praça Ponte D`Uchoa,0,4,0,0,20.0,sintetica,48,0
Praça Canavial,4,2,0,7,64.0,sintetica,24,0
Praça Professor Doutor Antônio Figueira,0,22,0,0,65.0,sintetica,12,0
Praça João Miguel De Souza Junior,1,9,0,0,67.0,sintetica,14,0
Praça São Francisco De Assis,0,18,1,2,26.0,sintetica,49,0
Praça Izabel De Goes,3,4,0,4,29.0,sintetica,45,0
Praça Cristo Rei,5,6,0,12,34.0,sintetica,59,0
Arnaldo Assunção,0,13,0,11,59.0,sintetica,49,0
Praça Morena Ramos,3,2,0,8,30.0,sintetica,47,0
Praca Da Ur6,0,12,0,10,75.0,sintetica,46,0
Praça Da Esperança,0,12,1,9,65.0,sintetica,36,1
Praça Da Rua Joaquim De Brito,4,9,0,1,64.0,sintetica,14,0
Peixinhos,1,1,0,11,32.0,sintetica,26,0
Praça Da Rua Água Preta,5,5,0,11,46.0,sintetica,47,0
Praça Da Rua Guarabira,1,7,0,0,69.0,sintetica,54,0
Praça Manuel Markman,2,3,0,0,80.0,sintetica,50,0
Praça Cidade Do Porto,4,11,0,7,32.0,sintetica,21,0
Praça Do Jardim São Paulo,4,14,0,9,31.0,sintetica,51,0
Praça Da Conceição,1,7,0,9,48.0,sintetica,40,0
Praça Deputado Fabio Correa,6,6,0,9,39.0,sintetica,42,0
Praça Dalva De Oliveira,4,13,0,1,50.0,sintetica,52,0
Praça Do Moinhos,1,22,0,12,27.0,sintetica,38,0
Praça Marcelino Champagnat,4,18,0,8,43.0,sintetica,80,1
Praça Luiz De Lacerda,0,13,0,8,94.0,sintetica,12,0
Praça Professor Ageu Magalhães,1,21,1,1,58.0,sintetica,47,0
Praça Arco Íris,1,12,0,2,52.0,sintetica,50,0
Praça Nova Esperança,3,20,0,1,61.0,sintetica,49,0
Praça Da Rua Abc,4,0,0,5,34.0,sintetica,39,0
Praça Da Rua Riacho Doce,4,18,1,14,87.0,sintetica,61,1
